Informant,Rank,Item
P1,1,red
P1,2,white
P1,3,black
P1,4,blue
P1,5,orange
P1,6,brown
P1,7,green
P1,8,purple
P2,1,blue
P2,2,red
P2,3,yellow
P2,4,orange
P2,5,green
P2,6,brown
P2,7,purple
P3,1,white
P3,2,black
P3,3,yellow
P3,4,pink
P3,5,red
P3,6,green
P3,7,blue
P3,8,purple
P4,1,purple
P4,2,white
P4,3,red
P4,4,green
P4,5,black
P4,6,orange
P4,7,blue
P4,8,grey
P4,9,yellow
P4,10,light purple
P4,11,pink
P4,12,light red
P4,13,light black
P4,14,dark grey
P4,15,light yellow
P4,16,dark purple
P4,17,dark green
P5,1,purple
P5,2,red
P5,3,blue
P5,4,white
P5,5,orange
P5,6,yellow
P5,7,green
P5,8,light purple
P5,9,light blue
P5,10,black
P5,11,brown
P5,12,pink
P5,13,light green
P5,14,dark green
P6,1,red
P6,2,blue
P6,3,yellow
P6,4,green
P6,5,grey
P6,6,pink
P6,7,orange
P6,8,black
P6,9,white
P6,10,purple
P6,11,brown
P7,1,yellow
P7,2,red
P7,3,purple
P7,4,pink
P7,5,green
P7,6,orange
P7,7,blue
P7,8,grey
P7,9,black
P7,10,white
P7,11,dark green
P7,12,fuchsia
P7,13,light blue
P7,14,brown
P7,15,lilac
P8,1,red
P8,2,orange
P8,3,yellow
P8,4,green
P8,5,blue
P8,6,purple
P8,7,pink
P8,8,brown
P8,9,black
P8,10,white
P8,11,grey
P9,1,red
P9,2,blue
P9,3,pink
P9,4,purple
P9,5,black
P9,6,green
P9,7,orange
P9,8,yellow
P9,9,white
P9,10,grey
P10,1,purple
P10,2,pink
P10,3,green
P10,4,blue
P10,5,black
P10,6,red
P11,1,pink
P11,2,red
P11,3,blue
P11,4,black
P11,5,yellow
P11,6,brown
P11,7,liteblue
P11,8,green
P11,9,light green
P11,10,dark green
P11,11,purple
P11,12,grey
P11,13,light purple
P11,14,orange
P11,15,white
P11,16,light brown
P12,1,yellow
P12,2,pink
P12,3,red
P12,4,green
P12,5,black
P12,6,white
P12,7,orange
P12,8,blue
P13,1,red
P13,2,blue
P13,3,black
P13,4,brown
P13,5,yellow
P13,6,green
P13,7,purple
P13,8,orange
P13,9,white
P13,10,pink
P13,11,grey
P14,1,red
P14,2,orange
P14,3,yellow
P14,4,green
P14,5,blue
P14,6,purple
P14,7,pink
P14,8,grey
P14,9,black
P14,10,white
P15,1,red
P15,2,blue
P15,3,pink
P15,4,yellow
P15,5,orange
P15,6,black
P15,7,white
P15,8,brown
P15,9,grey
P15,10,purple
P15,11,green
P16,1,red
P16,2,orange
P16,3,yellow
P16,4,green
P16,5,blue
P16,6,pink
P16,7,black
P16,8,white
P16,9,grey
P16,10,purple
P17,1,green
P17,2,yellow
P17,3,pink
P17,4,purple
P17,5,blue
P17,6,orange
P17,7,red
P17,8,black
P17,9,brown
P17,10,water green
P18,1,red
P18,2,brown
P18,3,yellow
P18,4,blue
P18,5,grey
P18,6,green
P18,7,black
P18,8,white
